_id;qtd;used;code;benefitId;createdAt;__v
5cb60f77aaae2d3bb71eeaf3;1;;438719-4E76C3FD1FC;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf5;1;;438721-43E195EBC09;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf4;1;;438720-487246161B4;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf6;1;;438722-4B30E601F2B;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf7;1;;438723-47170DF344E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf8;1;;438724-4E42872C2EB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaf9;1;;438725-43EC3EADBE9;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeafa;1;;438726-4BB754BB3A7;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeafb;1;;438727-4082CA8C166;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeafc;1;;438728-43744CC2A02;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeafd;1;;438729-4D7A3BC0075;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeafe;1;;438730-4967AC2509F;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeaff;1;;438731-41E963C6BFD;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb00;1;;438732-4BAC0CE6EBE;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb01;1;;438733-4743353CEDB;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb02;1;;438734-4023F931C7A;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb04;1;;438736-40DAE233912;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb03;1;;438735-4FB141A5309;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb05;1;;438737-4938E9B55C5;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb06;1;;438738-42C986DD121;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb07;1;;438739-435422FE51D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb09;1;;438741-4E506CA98C4;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb08;1;;438740-49522556B81;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb0a;1;;438742-47889B77F6E;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb0b;1;;438743-4CD5CFECC1D;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb0c;1;;438744-41E07A66ACC;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb0d;1;;438745-4B93891B378;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb0e;1;;438746-41BE9929FA5;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb0f;1;;438747-474197688AA;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb10;1;;438748-468872D76FF;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
5cb60f77aaae2d3bb71eeb11;1;;438749-447378AAB66;5cb5fe0301406c3bc62e2c7c;16/04/2019 17:23:03;0;
